año,mes,dia,hora(utc),altura(mm)
2016,1,9,7,1340 
2016,1,9,8,1390 
2016,1,9,9,1276 
2016,1,9,10,1030 
2016,1,9,11,723 
2016,1,9,12,417 
2016,1,9,13,168 
2016,1,9,14,38 
2016,1,9,15,59 
2016,1,9,16,217 
2016,1,9,17,465 
2016,1,9,18,742 
2016,1,9,19,973 
2016,1,9,20,1091 
2016,1,9,21,1066 
2016,1,9,22,909 
2016,1,9,23,667 
2016,1,10,0,405 
2016,1,10,1,195 
2016,1,10,2,97 
2016,1,10,3,148 
2016,1,10,4,348 
2016,1,10,5,650 
2016,1,10,6,976 
2016,1,10,7,1255 
2016,1,10,8,1426 
2016,1,10,9,1434 
2016,1,10,10,1263 
2016,1,10,11,966 
2016,1,10,12,619 
2016,1,10,13,289 
2016,1,10,14,44 
2016,1,10,15,-49 
2016,1,10,16,31 
2016,1,10,17,253 
2016,1,10,18,555 
2016,1,10,19,863 
2016,1,10,20,1093 
2016,1,10,21,1184 
2016,1,10,22,1115 
2016,1,10,23,906 
2016,1,11,0,616 
2016,1,11,1,323 
2016,1,11,2,109 
2016,1,11,3,33 
2016,1,11,4,126 
2016,1,11,5,375 
2016,1,11,6,720 
2016,1,11,7,1073 
2016,1,11,8,1354 
2016,1,11,9,1496 
2016,1,11,10,1449 
2016,1,11,11,1220 
2016,1,11,12,874 
2016,1,11,13,491 
2016,1,11,14,150 
2016,1,11,15,-69 
2016,1,11,16,-106 
2016,1,11,17,42 
2016,1,11,18,328 
2016,1,11,19,679 
2016,1,11,20,1007 
2016,1,11,21,1223 
2016,1,11,22,1274 
2016,1,11,23,1151 
2016,1,12,0,887 
2016,1,12,1,552 
2016,1,12,2,238 
2016,1,12,3,30 
2016,1,12,4,-17 
2016,1,12,5,120 
2016,1,12,6,417 
2016,1,12,7,799 
2016,1,12,8,1166 
2016,1,12,9,1431 
2016,1,12,10,1531 
2016,1,12,11,1427 
2016,1,12,12,1144 
2016,1,12,13,756 
2016,1,12,14,352 
2016,1,12,15,21 
2016,1,12,16,-151 
2016,1,12,17,-122 
2016,1,12,18,93 
2016,1,12,19,437 
2016,1,12,20,825 
2016,1,12,21,1156 
2016,1,12,22,1344 
2016,1,12,23,1347 
2016,1,13,0,1170 
2016,1,13,1,855 
2016,1,13,2,486 
2016,1,13,3,163 
2016,1,13,4,-30 
2016,1,13,5,-45 
2016,1,13,6,133 
2016,1,13,7,469 
2016,1,13,8,872 
2016,1,13,9,1235 
2016,1,13,10,1471 
2016,1,13,11,1523 
2016,1,13,12,1367 
2016,1,13,13,1040 
2016,1,13,14,625 
2016,1,13,15,220 
2016,1,13,16,-78 
2016,1,13,17,-192 
2016,1,13,18,-99 
2016,1,13,19,174 
2016,1,13,20,564 
2016,1,13,21,973 
2016,1,13,22,1290 
2016,1,13,23,1439 
2016,1,14,0,1395 
2016,1,14,1,1171 
2016,1,14,2,818 
2016,1,14,3,430 
2016,1,14,4,111 
2016,1,14,5,-63 
2016,1,14,6,-47 
2016,1,14,7,165 
2016,1,14,8,525 
2016,1,14,9,929 
2016,1,14,10,1270 
2016,1,14,11,1468 
2016,1,14,12,1473 
2016,1,14,13,1274 
2016,1,14,14,918 
2016,1,14,15,498 
2016,1,14,16,115 
2016,1,14,17,-135 
2016,1,14,18,-192 
2016,1,14,19,-45 
2016,1,14,20,273 
2016,1,14,21,692 
2016,1,14,22,1099 
2016,1,14,23,1387 
2016,1,15,0,1497 
2016,1,15,1,1416 
2016,1,15,2,1158 
2016,1,15,3,783 
2016,1,15,4,391 
2016,1,15,5,85 
2016,1,15,6,-66 
2016,1,15,7,-25 
2016,1,15,8,209 
2016,1,15,9,573 
2016,1,15,10,959 
2016,1,15,11,1267 
2016,1,15,12,1426 
2016,1,15,13,1392 
2016,1,15,14,1163 
2016,1,15,15,799 
2016,1,15,16,396 
2016,1,15,17,51 
2016,1,15,18,-151 
2016,1,15,19,-159 
2016,1,15,20,29 
2016,1,15,21,376 
2016,1,15,22,800 
2016,1,15,23,1186 
2016,1,16,0,1440 
2016,1,16,1,1518 
2016,1,16,2,1410 
2016,1,16,3,1133 
2016,1,16,4,752 
2016,1,16,5,372 
2016,1,16,6,86 
2016,1,16,7,-44 
2016,1,16,8,15 
2016,1,16,9,254 
2016,1,16,10,603 
2016,1,16,11,959 
2016,1,16,12,1231 
2016,1,16,13,1356 
2016,1,16,14,1292 
2016,1,16,15,1053 
2016,1,16,16,703 
2016,1,16,17,331 
2016,1,16,18,28 
2016,1,16,19,-131 
2016,1,16,20,-101 
2016,1,16,21,113 
2016,1,16,22,467 
2016,1,16,23,874 
2016,1,17,0,1228 
2016,1,17,1,1451 
2016,1,17,2,1507 
2016,1,17,3,1384 
2016,1,17,4,1100 
2016,1,17,5,728 
2016,1,17,6,369 
2016,1,17,7,105 
2016,1,17,8,-8 
2016,1,17,9,59 
2016,1,17,10,289 
2016,1,17,11,610 
2016,1,17,12,931 
2016,1,17,13,1172 
2016,1,17,14,1269 
2016,1,17,15,1193 
2016,1,17,16,962 
2016,1,17,17,640 
2016,1,17,18,305 
2016,1,17,19,40 
2016,1,17,20,-82 
2016,1,17,21,-27 
2016,1,17,22,193 
2016,1,17,23,533 
2016,1,18,0,911 
2016,1,18,1,1233 
2016,1,18,2,1433 
2016,1,18,3,1476 
2016,1,18,4,1346 
2016,1,18,5,1067 
2016,1,18,6,714 
2016,1,18,7,379 
2016,1,18,8,133 
2016,1,18,9,30 
2016,1,18,10,94 
2016,1,18,11,304 
2016,1,18,12,594 
2016,1,18,13,884 
2016,1,18,14,1101 
2016,1,18,15,1184 
2016,1,18,16,1109 
2016,1,18,17,899 
2016,1,18,18,609 
2016,1,18,19,308 
2016,1,18,20,77 
2016,1,18,21,-18 
2016,1,18,22,47 
2016,1,18,23,256 
2016,1,19,0,571 
2016,1,19,1,920 
2016,1,19,2,1219 
2016,1,19,3,1404 
2016,1,19,4,1438 
2016,1,19,5,1307 
2016,1,19,6,1041 
2016,1,19,7,710 
2016,1,19,8,394 
2016,1,19,9,159 
2016,1,19,10,57 
2016,1,19,11,111 
2016,1,19,12,297 
2016,1,19,13,558 
2016,1,19,14,828 
2016,1,19,15,1033 
2016,1,19,16,1113 
2016,1,19,17,1050 
2016,1,19,18,865 
2016,1,19,19,602 
2016,1,19,20,329 
2016,1,19,21,124 
2016,1,19,22,44 
2016,1,19,23,103 
2016,1,20,0,293 
2016,1,20,1,586 
2016,1,20,2,917 
2016,1,20,3,1200 
2016,1,20,4,1376 
2016,1,20,5,1407 
2016,1,20,6,1281 
2016,1,20,7,1028 
2016,1,20,8,712 
2016,1,20,9,406 
2016,1,20,10,174 
2016,1,20,11,68 
2016,1,20,12,107 
2016,1,20,13,271 
2016,1,20,14,517 
2016,1,20,15,780 
2016,1,20,16,984 
2016,1,20,17,1069 
2016,1,20,18,1020 
2016,1,20,19,853 
2016,1,20,20,610 
2016,1,20,21,357 
2016,1,20,22,166 
2016,1,20,23,85 
2016,1,21,0,130 
2016,1,21,1,306 
2016,1,21,2,589 
2016,1,21,3,911 
2016,1,21,4,1188 
2016,1,21,5,1361 
2016,1,21,6,1393 
2016,1,21,7,1271 
2016,1,21,8,1024 
2016,1,21,9,713 
2016,1,21,10,407 
2016,1,21,11,171 
2016,1,21,12,57 
2016,1,21,13,84 
2016,1,21,14,240 
2016,1,21,15,487 
2016,1,21,16,756 
2016,1,21,17,966 
2016,1,21,18,1057 
2016,1,21,19,1017 
2016,1,21,20,860 
2016,1,21,21,626 
2016,1,21,22,379 
2016,1,21,23,187 
2016,1,22,0,95 
2016,1,22,1,130 
2016,1,22,2,303 
2016,1,22,3,589 
2016,1,22,4,910 
2016,1,22,5,1187 
2016,1,22,6,1364 
2016,1,22,7,1396 
2016,1,22,8,1270 
2016,1,22,9,1019 
2016,1,22,10,704 
2016,1,22,11,390 
2016,1,22,12,145 
2016,1,22,13,25 
2016,1,22,14,52 
2016,1,22,15,219 
2016,1,22,16,483 
2016,1,22,17,768 
2016,1,22,18,984 
2016,1,22,19,1079 
2016,1,22,20,1039 
2016,1,22,21,881 
2016,1,22,22,641 
2016,1,22,23,386 
2016,1,23,0,181 
2016,1,23,1,78 
2016,1,23,2,113 
2016,1,23,3,296 
2016,1,23,4,591 
2016,1,23,5,919 
2016,1,23,6,1204 
2016,1,23,7,1383 
2016,1,23,8,1407 
2016,1,23,9,1266 
2016,1,23,10,1002 
2016,1,23,11,673 
2016,1,23,12,345 
2016,1,23,13,95 
2016,1,23,14,-19 
2016,1,23,15,28 
2016,1,23,16,223 
2016,1,23,17,515 
2016,1,23,18,817 
2016,1,23,19,1038 
2016,1,23,20,1129 
2016,1,23,21,1080 
2016,1,23,22,906 
2016,1,23,23,648 
2016,1,24,0,373 
2016,1,24,1,153 
2016,1,24,2,48 
2016,1,24,3,94 
2016,1,24,4,295 
2016,1,24,5,604 
2016,1,24,6,944 
2016,1,24,7,1237 
2016,1,24,8,1408 
2016,1,24,9,1409 
2016,1,24,10,1245 
2016,1,24,11,959 
2016,1,24,12,610 
2016,1,24,13,270 
2016,1,24,14,26 
2016,1,24,15,-61 
2016,1,24,16,24 
2016,1,24,17,259 
2016,1,24,18,582 
2016,1,24,19,898 
2016,1,24,20,1118 
2016,1,24,21,1197 
2016,1,24,22,1126 
2016,1,24,23,925 
2016,1,25,0,638 
2016,1,25,1,343 
2016,1,25,2,117 
2016,1,25,3,21 
2016,1,25,4,88 
2016,1,25,5,311 
2016,1,25,6,638 
2016,1,25,7,989 
2016,1,25,8,1277 
2016,1,25,9,1425 
2016,1,25,10,1391 
2016,1,25,11,1195 
2016,1,25,12,883 
2016,1,25,13,514 
2016,1,25,14,174 
2016,1,25,15,-43 
2016,1,25,16,-84 
2016,1,25,17,50 
2016,1,25,18,328 
2016,1,25,19,680 
2016,1,25,20,1002 
2016,1,25,21,1210 
2016,1,25,22,1263 
2016,1,25,23,1159 
2016,1,26,0,922 
2016,1,26,1,609 
2016,1,26,2,302 
2016,1,26,3,83 
2016,1,26,4,9 
2016,1,26,5,105 
2016,1,26,6,354 
2016,1,26,7,697 
2016,1,26,8,1048 
2016,1,26,9,1314 
2016,1,26,10,1421 
2016,1,26,11,1344 
2016,1,26,12,1113 
2016,1,26,13,773 
2016,1,26,14,394 
2016,1,26,15,75 
2016,1,26,16,-92 
2016,1,26,17,-77 
2016,1,26,18,109 
2016,1,26,19,427 
2016,1,26,20,797 
2016,1,26,21,1111 
2016,1,26,22,1289 
2016,1,26,23,1304 
2016,1,27,0,1160 
2016,1,27,1,890 
2016,1,27,2,560 
2016,1,27,3,258 
2016,1,27,4,60 
2016,1,27,5,20 
2016,1,27,6,151 
2016,1,27,7,426 
2016,1,27,8,775 
2016,1,27,9,1108 
2016,1,27,10,1334 
2016,1,27,11,1390 
2016,1,27,12,1267 
2016,1,27,13,1000 
2016,1,27,14,641 
2016,1,27,15,272 
2016,1,27,16,-1 
2016,1,27,17,-108 
2016,1,27,18,-34 
2016,1,27,19,201 
2016,1,27,20,550 
2016,1,27,21,919 
2016,1,27,22,1203 
2016,1,27,23,1338 
2016,1,28,0,1306 
2016,1,28,1,1122 
2016,1,28,2,826 
2016,1,28,3,495 
2016,1,28,4,214 
2016,1,28,5,53 
2016,1,28,6,56 
2016,1,28,7,225 
2016,1,28,8,517 
2016,1,28,9,857 
2016,1,28,10,1155 
2016,1,28,11,1330 
2016,1,28,12,1330 
2016,1,28,13,1161 
2016,1,28,14,866 
2016,1,28,15,506 
2016,1,28,16,173 
2016,1,28,17,-40 
2016,1,28,18,-82 
2016,1,28,19,47 
2016,1,28,20,323 
2016,1,28,21,684 
2016,1,28,22,1028 
2016,1,28,23,1263 
2016,1,29,0,1345 
2016,1,29,1,1267 
2016,1,29,2,1047 
2016,1,29,3,739 
2016,1,29,4,424 
2016,1,29,5,178 
2016,1,29,6,64 
2016,1,29,7,114 
2016,1,29,8,316 
2016,1,29,9,612 
2016,1,29,10,926 
2016,1,29,11,1177 
2016,1,29,12,1294 
2016,1,29,13,1241 
2016,1,29,14,1034 
2016,1,29,15,728 
2016,1,29,16,392 
2016,1,29,17,111 
2016,1,29,18,-37 
2016,1,29,19,-18 
2016,1,29,20,161 
2016,1,29,21,463 
2016,1,29,22,811 
2016,1,29,23,1108 
2016,1,30,0,1286 
2016,1,30,1,1315 
2016,1,30,2,1193 
2016,1,30,3,948 
2016,1,30,4,643 
2016,1,30,5,358 
2016,1,30,6,157 
2016,1,30,7,94 
2016,1,30,8,187 
2016,1,30,9,407 
2016,1,30,10,690 
2016,1,30,11,966 
2016,1,30,12,1165 
2016,1,30,13,1227 
2016,1,30,14,1128 
2016,1,30,15,901 
2016,1,30,16,605 
2016,1,30,17,309 
2016,1,30,18,87 
2016,1,30,19,2 
2016,1,30,20,77 
2016,1,30,21,293 
2016,1,30,22,598 
2016,1,30,23,912 
2016,1,31,0,1154 
2016,1,31,1,1278 
2016,1,31,2,1260 
2016,1,31,3,1102 
2016,1,31,4,844 
2016,1,31,5,557 
2016,1,31,6,310 
2016,1,31,7,156 
2016,1,31,8,138 
2016,1,31,9,261 
2016,1,31,10,483 
2016,1,31,11,740 
2016,1,31,12,972 
2016,1,31,13,1121 
2016,1,31,14,1135 
2016,1,31,15,1006 
2016,1,31,16,778 
2016,1,31,17,508 
2016,1,31,18,257 
2016,1,31,19,93 
2016,1,31,20,66 
2016,1,31,21,185 
2016,1,31,22,419 
2016,1,31,23,709
